Versie;Schaal;Periode;TypeResultaat;Habitattype;Habitatsubtype;Criterium;Belang;Indicator;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Versie 2.0;;;;3130;alle;;;vergrassing;binnen;141;538,6517049;98,53;93,92;99,66
Versie 2.0;;;;3130;alle;;;vergrassing;buiten;8;110,9261273;95,55;68,92;99,52
Versie 2.0;;;;3130;3130_aom;;;vergrassing;Binnen & Buiten;93;335,7350895;96,17;87,99;98,85
Versie 2.0;;;;3130;3130_na;;;vergrassing;Binnen & Buiten;56;313,8427427;100;100;100
Versie 2.0;;;;3130;alle;;;verzuring;Binnen & Buiten;149;649,5778322;90,74;83,81;94,89
Versie 2.0;;;;3130;alle;;;verzuring;binnen;141;538,6517049;89,8;82,13;94,4
Versie 2.0;;;;3130;alle;;;verzuring;buiten;8;110,9261273;95,35;69,45;99,46
Versie 2.0;;;;3130;3130_aom;;;verzuring;Binnen & Buiten;93;335,7350895;82,53;69,56;90,71
Versie 2.0;;;;3130;3130_na;;;verzuring;Binnen & Buiten;56;313,8427427;99,53;97,89;99,9
Versie 2.0;;;;3130;alle;;;verticale structuur;Binnen & Buiten;56;313,8427427;90,36;70,56;97,35
Versie 2.0;;;;3130;alle;;;verticale structuur;binnen;54;262,0643369;88,46;66,48;96,73
Versie 2.0;;;;3130;alle;;;verticale structuur;buiten;2;51,77840584;100;NA;NA
Versie 3;;;;3130;alle;;;horizontale structuur;Binnen & Buiten;149;649,5778322;44,49;31,47;58,32
Versie 3;;;;3130;alle;;;horizontale structuur;binnen;141;538,6517049;51,31;38,56;63,89
Versie 3;;;;3130;alle;;;horizontale structuur;buiten;8;110,9261273;11,38;1,95;45,3
Versie 3;;;;3130;3130_aom;;;horizontale structuur;Binnen & Buiten;93;335,7350895;37,72;22,94;55,2
Versie 3;;;;3130;3130_na;;;horizontale structuur;Binnen & Buiten;56;313,8427427;51,73;31,38;71,52
Versie 3;;;;3130;alle;;;verticale structuur;Binnen & Buiten;149;649,5778322;82,17;72,31;89,05
Versie 3;;;;3130;alle;;;verticale structuur;binnen;141;538,6517049;79,46;68,77;87,17
Versie 3;;;;3130;alle;;;verticale structuur;buiten;8;110,9261273;95,35;69,45;99,46
Versie 3;;;;3130;3130_aom;;;verticale structuur;Binnen & Buiten;93;335,7350895;74,52;60,33;84,9
Versie 3;;;;3130;3130_na;;;verticale structuur;Binnen & Buiten;56;313,8427427;90,36;70,71;97,33
Versie 3;;;;3130;alle;;;sleutelsoorten;Binnen & Buiten;149;649,5778322;4,6;1,63;12,3
Versie 3;;;;3130;alle;;;sleutelsoorten;binnen;141;538,6517049;5,55;1,99;14,51
Versie 3;;;;3130;alle;;;sleutelsoorten;buiten;8;110,9261273;0;0;0
Versie 3;;;;3130;3130_aom;;;sleutelsoorten;Binnen & Buiten;93;335,7350895;5,83;1,75;17,68
Versie 3;;;;3130;3130_na;;;sleutelsoorten;Binnen & Buiten;56;313,8427427;3,28;0,45;20,25
Versie 3;;;;3130;alle;;;eutrofiëring;Binnen & Buiten;149;649,5778322;75,29;64,79;83,47
Versie 3;;;;3130;alle;;;eutrofiëring;binnen;141;538,6517049;71,14;60,13;80,12
Versie 3;;;;3130;alle;;;eutrofiëring;buiten;8;110,9261273;95,47;69,15;99,5
Versie 3;;;;3130;3130_aom;;;eutrofiëring;Binnen & Buiten;93;335,7350895;70,56;55,03;82,44
Versie 3;;;;3130;3130_na;;;eutrofiëring;Binnen & Buiten;56;313,8427427;80,36;65,13;89,96
Versie 3;;;;3130;alle;;;invasieve exoten;Binnen & Buiten;149;649,5778322;36,39;25,38;49,03
Versie 3;;;;3130;alle;;;invasieve exoten;binnen;141;538,6517049;41,51;30,06;53,96
Versie 3;;;;3130;alle;;;invasieve exoten;buiten;8;110,9261273;11,51;2;45,35
Versie 3;;;;3130;3130_aom;;;invasieve exoten;Binnen & Buiten;93;335,7350895;38,86;24,24;55,81
Versie 3;;;;3130;3130_na;;;invasieve exoten;Binnen & Buiten;56;313,8427427;33,74;18,6;53,17
Versie 3;;;;3130;alle;;;verzuring;Binnen & Buiten;149;649,5778322;90,74;83,81;94,89
Versie 3;;;;3130;alle;;;verzuring;binnen;141;538,6517049;89,8;82,13;94,4
Versie 3;;;;3130;alle;;;verzuring;buiten;8;110,9261273;95,35;69,45;99,46
Versie 3;;;;3130;3130_aom;;;verzuring;Binnen & Buiten;93;335,7350895;82,53;69,56;90,71
Versie 3;;;;3130;3130_na;;;verzuring;Binnen & Buiten;56;313,8427427;99,53;97,89;99,9
Versie 2.0;;;;3150;alle;;;doorzicht;Binnen & Buiten;36;81,49537794;42,48;11,69;80,47
Versie 2.0;;;;3150;alle;;;doorzicht;binnen;32;79,03048926;40,7;10,41;80,22
Versie 2.0;;;;3150;alle;;;doorzicht;buiten;4;2,464888681;99,23;NA;NA
Versie 2.0;;;;3150;alle;;;horizontale structuur;Binnen & Buiten;36;81,49537794;90,87;71,83;97,49
Versie 2.0;;;;3150;alle;;;horizontale structuur;binnen;32;79,03048926;90,67;70,79;97,5
Versie 2.0;;;;3150;alle;;;horizontale structuur;buiten;4;2,464888681;97,17;NA;NA
Versie 2.0;;;;3150;alle;;;sleutelsoorten;Binnen & Buiten;36;81,49537794;43,87;12,23;81,42
Versie 2.0;;;;3150;alle;;;sleutelsoorten;binnen;32;79,03048926;42,14;10,95;81,18
Versie 2.0;;;;3150;alle;;;sleutelsoorten;buiten;4;2,464888681;99,23;NA;NA
Versie 2.0;;;;3150;alle;;;eutrofiëring;Binnen & Buiten;36;81,49537794;95,06;79,17;98,99
Versie 2.0;;;;3150;alle;;;eutrofiëring;binnen;32;79,03048926;97,96;88,14;99,68
Versie 2.0;;;;3150;alle;;;eutrofiëring;buiten;4;2,464888681;2,06;NA;NA
Versie 2.0;;;;3150;alle;;;invasieve exoten;Binnen & Buiten;36;81,49537794;96,38;80,61;99,42
Versie 2.0;;;;3150;alle;;;invasieve exoten;binnen;32;79,03048926;99,3;95,84;99,89
Versie 2.0;;;;3150;alle;;;invasieve exoten;buiten;4;2,464888681;2,83;NA;NA
Versie 3;;;;3150;alle;;;horizontale structuur;Binnen & Buiten;36;81,49537794;70,2;34,64;91,29
Versie 3;;;;3150;alle;;;horizontale structuur;binnen;32;79,03048926;72,35;35,93;92,43
Versie 3;;;;3150;alle;;;horizontale structuur;buiten;4;2,464888681;1,3;NA;NA
Versie 3;;;;3150;alle;;;verticale structuur;Binnen & Buiten;36;81,49537794;69,27;25,69;93,63
Versie 3;;;;3150;alle;;;verticale structuur;binnen;32;79,03048926;71,34;25,17;94,85
Versie 3;;;;3150;alle;;;verticale structuur;buiten;4;2,464888681;2,83;NA;NA
Versie 3;;;;3150;alle;;;sleutelsoorten;Binnen & Buiten;36;81,49537794;43,87;12,23;81,42
Versie 3;;;;3150;alle;;;sleutelsoorten;binnen;32;79,03048926;42,14;10,95;81,18
Versie 3;;;;3150;alle;;;sleutelsoorten;buiten;4;2,464888681;99,23;NA;NA
Versie 3;;;;3150;alle;;;eutrofiëring;Binnen & Buiten;36;81,49537794;95,06;79,17;98,99
Versie 3;;;;3150;alle;;;eutrofiëring;binnen;32;79,03048926;97,96;88,14;99,68
Versie 3;;;;3150;alle;;;eutrofiëring;buiten;4;2,464888681;2,06;NA;NA
Versie 3;;;;3150;alle;;;invasieve exoten;Binnen & Buiten;36;81,49537794;24,55;6,57;60,11
Versie 3;;;;3150;alle;;;invasieve exoten;binnen;32;79,03048926;25,29;6,61;61,82
Versie 3;;;;3150;alle;;;invasieve exoten;buiten;4;2,464888681;0,77;NA;NA
Versie 2.0;;;;3140;alle;;;doorzicht;Binnen & Buiten;18;54,68491581;98,96;92,51;99,86
Versie 2.0;;;;3140;alle;;;doorzicht;binnen;17;16,91706748;96,65;85;99,32
Versie 2.0;;;;3140;alle;;;doorzicht;buiten;1;37,76784833;100;NA;NA
Versie 2.0;;;;3140;alle;;;horizontale structuur;Binnen & Buiten;18;54,68491581;98,37;84,16;99,85
Versie 2.0;;;;3140;alle;;;horizontale structuur;binnen;17;16,91706748;94,73;69,02;99,32
Versie 2.0;;;;3140;alle;;;horizontale structuur;buiten;1;37,76784833;100;NA;NA
Versie 2.0;;;;3140;alle;;;sleutelsoorten;Binnen & Buiten;18;54,68491581;24,9;4,25;71,21
Versie 2.0;;;;3140;alle;;;sleutelsoorten;binnen;17;16,91706748;80,48;43,85;95,6
Versie 2.0;;;;3140;alle;;;sleutelsoorten;buiten;1;37,76784833;0;NA;NA
Versie 2.0;;;;3140;alle;;;eutrofiëring;Binnen & Buiten;18;54,68491581;93,93;62,17;99,32
Versie 2.0;;;;3140;alle;;;eutrofiëring;binnen;17;16,91706748;80,38;39,7;96,22
Versie 2.0;;;;3140;alle;;;eutrofiëring;buiten;1;37,76784833;100;NA;NA
Versie 2.0;;;;3140;alle;;;invasieve exoten;Binnen & Buiten;18;54,68491581;25,74;4,36;72,46
Versie 2.0;;;;3140;alle;;;invasieve exoten;binnen;17;16,91706748;83,19;48,83;96,25
Versie 2.0;;;;3140;alle;;;invasieve exoten;buiten;1;37,76784833;0;NA;NA
Versie 3;;;;3140;alle;;;horizontale structuur;Binnen & Buiten;18;54,68491581;17,79;3;60,2
Versie 3;;;;3140;alle;;;horizontale structuur;binnen;17;16,91706748;57,51;25,96;83,94
Versie 3;;;;3140;alle;;;horizontale structuur;buiten;1;37,76784833;0;NA;NA
Versie 3;;;;3140;alle;;;verticale structuur;Binnen & Buiten;18;54,68491581;82,62;41,33;96,98
Versie 3;;;;3140;alle;;;verticale structuur;binnen;17;16,91706748;43,82;16,37;75,66
Versie 3;;;;3140;alle;;;verticale structuur;buiten;1;37,76784833;100;NA;NA
Versie 3;;;;3140;alle;;;sleutelsoorten;Binnen & Buiten;18;54,68491581;24,9;4,25;71,21
Versie 3;;;;3140;alle;;;sleutelsoorten;binnen;17;16,91706748;80,48;43,85;95,6
Versie 3;;;;3140;alle;;;sleutelsoorten;buiten;1;37,76784833;0;NA;NA
Versie 3;;;;3140;alle;;;eutrofiëring;Binnen & Buiten;18;54,68491581;85,54;46,39;97,59
Versie 3;;;;3140;alle;;;eutrofiëring;binnen;17;16,91706748;53,25;22,53;81,68
Versie 3;;;;3140;alle;;;eutrofiëring;buiten;1;37,76784833;100;NA;NA
Versie 3;;;;3140;alle;;;invasieve exoten;Binnen & Buiten;18;54,68491581;2,97;0,52;15,12
Versie 3;;;;3140;alle;;;invasieve exoten;binnen;17;16,91706748;9,61;2,97;26,95
Versie 3;;;;3140;alle;;;invasieve exoten;buiten;1;37,76784833;0;NA;NA
Versie 2.0;;;;3160;alle;;;sleutelsoorten;Binnen & Buiten;44;159,5743655;26,89;12,4;48,86
Versie 2.0;;;;3160;alle;;;sleutelsoorten;binnen;42;156,5872785;27,4;12,5;49,92
Versie 2.0;;;;3160;alle;;;sleutelsoorten;buiten;2;2,987086973;0;NA;NA
Versie 2.0;;;;3160;alle;;;elektrisch geleidend vermogen;Binnen & Buiten;44;159,5743655;87,99;71,86;95,46
Versie 2.0;;;;3160;alle;;;elektrisch geleidend vermogen;binnen;42;156,5872785;87,76;71,24;95,4
Versie 2.0;;;;3160;alle;;;elektrisch geleidend vermogen;buiten;2;2,987086973;100;NA;NA
Versie 2.0;;;;3160;alle;;;eutrofiëring;Binnen & Buiten;44;159,5743655;45,26;21,25;71,69
Versie 2.0;;;;3160;alle;;;eutrofiëring;binnen;42;156,5872785;44,21;20,42;71
Versie 2.0;;;;3160;alle;;;eutrofiëring;buiten;2;2,987086973;100;NA;NA
Versie 2.0;;;;3160;alle;;;invasieve exoten;Binnen & Buiten;44;159,5743655;100;100;100
Versie 2.0;;;;3160;alle;;;invasieve exoten;binnen;42;156,5872785;100;100;100
Versie 2.0;;;;3160;alle;;;invasieve exoten;buiten;2;2,987086973;100;NA;NA
Versie 2.0;;;;3160;alle;;;vergrassing;Binnen & Buiten;44;159,5743655;88,1;72,47;95,42
Versie 2.0;;;;3160;alle;;;vergrassing;binnen;42;156,5872785;89,78;74,11;96,42
Versie 2.0;;;;3160;alle;;;vergrassing;buiten;2;2,987086973;0;NA;NA
Versie 2.0;;;;3160;alle;;;verzuring;Binnen & Buiten;44;159,5743655;82,21;61,9;92,93
Versie 2.0;;;;3160;alle;;;verzuring;binnen;42;156,5872785;81,87;61,1;92,85
Versie 2.0;;;;3160;alle;;;verzuring;buiten;2;2,987086973;100;NA;NA
Versie 3;;;;3160;alle;;;horizontale structuur;Binnen & Buiten;44;159,5743655;29,31;13,09;53,3
Versie 3;;;;3160;alle;;;horizontale structuur;binnen;42;156,5872785;28,9;12,65;53,27
Versie 3;;;;3160;alle;;;horizontale structuur;buiten;2;2,987086973;50,94;NA;NA
Versie 3;;;;3160;alle;;;sleutelsoorten;Binnen & Buiten;44;159,5743655;26,89;12,4;48,86
Versie 3;;;;3160;alle;;;sleutelsoorten;binnen;42;156,5872785;27,4;12,5;49,92
Versie 3;;;;3160;alle;;;sleutelsoorten;buiten;2;2,987086973;0;NA;NA
Versie 3;;;;3160;alle;;;eutrofiëring;Binnen & Buiten;44;159,5743655;18,8;7,99;38,19
Versie 3;;;;3160;alle;;;eutrofiëring;binnen;42;156,5872785;19,16;8,07;39,02
Versie 3;;;;3160;alle;;;eutrofiëring;buiten;2;2,987086973;0;NA;NA
Versie 3;;;;3160;alle;;;invasieve exoten;Binnen & Buiten;44;159,5743655;93,86;79,63;98,35
Versie 3;;;;3160;alle;;;invasieve exoten;binnen;42;156,5872785;93,74;79,21;98,33
Versie 3;;;;3160;alle;;;invasieve exoten;buiten;2;2,987086973;100;NA;NA
Versie 3;;;;3160;alle;;;verzuring;Binnen & Buiten;44;159,5743655;86,26;66,66;95,17
Versie 3;;;;3160;alle;;;verzuring;binnen;42;156,5872785;85,99;65,98;95,11
Versie 3;;;;3160;alle;;;verzuring;buiten;2;2,987086973;100;NA;NA
Versie 2.0;;;;3110;alle;;;doorzicht;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 2.0;;;;3110;alle;;;horizontale structuur;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 2.0;;;;3110;alle;;;oeverzone ZW-zijde;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 2.0;;;;3110;alle;;;verticale structuur;Binnen & Buiten;2;16,42617051;51,7;NA;NA
Versie 2.0;;;;3110;alle;;;sleutelsoorten;Binnen & Buiten;2;16,42617051;48,3;NA;NA
Versie 2.0;;;;3110;alle;;;eutrofiëring;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 2.0;;;;3110;alle;;;invasieve exoten;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 2.0;;;;3110;alle;;;vergrassing;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 2.0;;;;3110;alle;;;verzuring;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 3;;;;3110;alle;;;horizontale structuur;Binnen & Buiten;2;16,42617051;0;NA;NA
Versie 3;;;;3110;alle;;;verticale structuur;Binnen & Buiten;2;16,42617051;51,7;NA;NA
Versie 3;;;;3110;alle;;;sleutelsoorten;Binnen & Buiten;2;16,42617051;48,3;NA;NA
Versie 3;;;;3110;alle;;;eutrofiëring;Binnen & Buiten;2;16,42617051;100;NA;NA
Versie 3;;;;3110;alle;;;invasieve exoten;Binnen & Buiten;2;16,42617051;48,3;NA;NA
Versie 3;;;;3110;alle;;;verzuring;Binnen & Buiten;2;16,42617051;100;NA;NA
