Versie;Schaal;Periode;TypeResultaat;Habitattype;Habitatsubtype;Criterium;Belang;Indicator;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Versie 2.0;;;;3130;alle;;;doorzicht;Binnen & Buiten;93;335,7350895;70,49;51,3;84,41
Versie 2.0;;;;3130;alle;;;doorzicht;binnen;87;276,587368;65,44;46,2;80,68
Versie 2.0;;;;3130;alle;;;doorzicht;buiten;6;59,14772146;94,12;56,62;99,49
Versie 2.0;;;;3130;alle;;;horizontale structuur;Binnen & Buiten;149;649,5778322;80,34;70,18;87,65
Versie 2.0;;;;3130;alle;;;horizontale structuur;binnen;141;538,6517049;78,13;67,55;85,98
Versie 2.0;;;;3130;alle;;;horizontale structuur;buiten;8;110,9261273;91,07;50,72;99,02
Versie 2.0;;;;3130;3130_aom;;;horizontale structuur;Binnen & Buiten;93;335,7350895;76,86;60,86;87,65
Versie 2.0;;;;3130;3130_na;;;horizontale structuur;Binnen & Buiten;56;313,8427427;84,07;70,7;92,03
Versie 2.0;;;;3130;alle;;;oeverzone ZW-zijde;Binnen & Buiten;93;335,7350895;53,63;34,22;72
Versie 2.0;;;;3130;alle;;;oeverzone ZW-zijde;binnen;87;276,587368;63,72;44,54;79,35
Versie 2.0;;;;3130;alle;;;oeverzone ZW-zijde;buiten;6;59,14772146;6,43;0,63;42,76
Versie 2.0;;;;3130;alle;;;sleutelsoorten;Binnen & Buiten;149;649,5778322;23,99;14,81;36,42
Versie 2.0;;;;3130;alle;;;sleutelsoorten;binnen;141;538,6517049;27,47;17,38;40,56
Versie 2.0;;;;3130;alle;;;sleutelsoorten;buiten;8;110,9261273;7,06;0,81;41,56
Versie 2.0;;;;3130;3130_aom;;;sleutelsoorten;Binnen & Buiten;93;335,7350895;43,35;26,56;61,82
Versie 2.0;;;;3130;3130_na;;;sleutelsoorten;Binnen & Buiten;56;313,8427427;3,28;0,45;20,25
Versie 2.0;;;;3130;alle;;;eutrofiëring;Binnen & Buiten;149;649,5778322;71,22;60,02;80,3
Versie 2.0;;;;3130;alle;;;eutrofiëring;binnen;141;538,6517049;66,22;54,68;76,1
Versie 2.0;;;;3130;alle;;;eutrofiëring;buiten;8;110,9261273;95,47;69,15;99,5
Versie 2.0;;;;3130;3130_aom;;;eutrofiëring;Binnen & Buiten;93;335,7350895;62,67;45,8;76,93
Versie 2.0;;;;3130;3130_na;;;eutrofiëring;Binnen & Buiten;56;313,8427427;80,36;65,13;89,96
Versie 2.0;;;;3130;alle;;;invasieve exoten;Binnen & Buiten;149;649,5778322;81,96;60,63;93,06
Versie 2.0;;;;3130;alle;;;invasieve exoten;binnen;141;538,6517049;93,97;83,38;97,97
Versie 2.0;;;;3130;alle;;;invasieve exoten;buiten;8;110,9261273;23,65;5,18;63,75
Versie 2.0;;;;3130;3130_aom;;;invasieve exoten;Binnen & Buiten;93;335,7350895;83,37;50,43;96,11
Versie 2.0;;;;3130;3130_na;;;invasieve exoten;Binnen & Buiten;56;313,8427427;80,45;48,53;94,72
Versie 2.0;;;;3130;alle;;;vergrassing;Binnen & Buiten;149;649,5778322;98,02;93,71;99,39
