Schaal;Periode;TypeResultaat;Versie;Habitattype;Habitatsubtype;Criterium;Indicator;Belang;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Vlaanderen;;Habitattype;Versie 2.0;1330;1330_hpr;Vegetatie;bedekking sleutelsoorten;b;Binnen & Buiten;16;55,75025;89,78;64,04;97,74
Vlaanderen;;Habitattype;Versie 3;1330;"1330_hpr; 1330_da";Vegetatie;bedekking sleutelsoorten;b;Binnen & Buiten;82;163,5174142;55,12;43,27;66,41
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_da;Vegetatie;bedekking sleutelsoorten;b;Binnen & Buiten;66;107,7671642;48,48;36,67;60,47
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_hpr;Vegetatie;bedekking sleutelsoorten;b;Binnen & Buiten;16;55,75025;67,94;40,9;86,64
Vlaanderen;;Habitattype;Versie 2.0;1330;1330_hpr;Structuur;dominantie van één soort;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 3;1330;1330_hpr;Structuur;dominantie van één soort;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 2.0;1330;1330_hpr;Structuur;microreliëf;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 3;1330;1330_hpr;Structuur;microreliëf;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 2.0;1330;"1330_hpr; 1330_da";Verstoring;overgang naar rbbmr;zb;Binnen & Buiten;82;163,5174142;62,05;50,79;72,16
Vlaanderen;;Habitatsubtype;Versie 2.0;1330;1330_da;Verstoring;overgang naar rbbmr;zb;Binnen & Buiten;66;107,7671642;42,42;31,08;54,63
Vlaanderen;;Habitatsubtype;Versie 2.0;1330;1330_hpr;Verstoring;overgang naar rbbmr;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 2.0;1330;1330_hpr;Verstoring;overgang naar rbbzil;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 3;1330;1330_hpr;Verstoring;overgang naar rbbzil;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 2.0;1330;"1330_hpr; 1330_da";Vegetatie;sleutelsoorten;b;Binnen & Buiten;82;163,5174142;62,05;50,79;72,16
Vlaanderen;;Habitatsubtype;Versie 2.0;1330;1330_da;Vegetatie;sleutelsoorten;b;Binnen & Buiten;66;107,7671642;42,42;31,08;54,63
Vlaanderen;;Habitatsubtype;Versie 2.0;1330;1330_hpr;Vegetatie;sleutelsoorten;b;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 3;1330;"1330_hpr; 1330_da";Vegetatie;sleutelsoorten;b;Binnen & Buiten;82;163,5174142;70,04;59,34;78,93
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_da;Vegetatie;sleutelsoorten;b;Binnen & Buiten;66;107,7671642;54,55;42,43;66,15
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_hpr;Vegetatie;sleutelsoorten;b;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 3;1330;"1330_hpr; 1330_da";Verstoring;rietontwikkeling;zb;Binnen & Buiten;82;163,5174142;62,05;50,79;72,16
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_da;Verstoring;rietontwikkeling;zb;Binnen & Buiten;66;107,7671642;42,42;31,08;54,63
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_hpr;Verstoring;rietontwikkeling;zb;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 2.0;1330;1330_da;Structuur;horizontale structuur_vegetatiegradient;zb;Binnen & Buiten;66;107,7671642;93,94;84,84;97,72
Vlaanderen;;Habitattype;Versie 2.0;1330;1330_da;Structuur;kreken, oeverwallen en kommen;zb;Binnen & Buiten;66;107,7671642;84,85;73,98;91,69
Vlaanderen;;Habitattype;Versie 3;1330;1330_da;Structuur;kreken, oeverwallen en kommen;zb;Binnen & Buiten;66;107,7671642;84,85;73,98;91,69
Vlaanderen;;Habitattype;Versie 2.0;1330;1330_da;Structuur;schorklifvorming;zb;Binnen & Buiten;66;107,7671642;43,94;32,44;56,12
Vlaanderen;;Habitattype;Versie 3;1330;1330_da;Structuur;horizontale structuur;zb;Binnen & Buiten;66;107,7671642;93,94;84,84;97,72
Vlaanderen;;Habitattype;Versie 3;1330;1330_da;Structuur;schorklifvorming/breuksteenbestorting;zb;Binnen & Buiten;66;107,7671642;43,94;32,44;56,12
Vlaanderen;;Habitattype;Versie 3;1330;1330_da;Structuur;verticale gradiënt;zb;Binnen & Buiten;66;107,7671642;93,94;84,84;97,72
Vlaanderen;;Habitattype;Versie 3;1330;1330_da;Verstoring;verzoeting;zb;Binnen & Buiten;66;107,7671642;100;100;100
