Schaal;Periode;TypeResultaat;Versie;Habitattype;Habitatsubtype;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Vlaanderen;1;Habitattype;Versie 2.0;9120;9120;Binnen & Buiten;115;119,5025698;31,03;23,3;40
Vlaanderen;2;Habitattype;Versie 2.0;9120;9120;Binnen & Buiten;115;113,913893;30,12;22,39;39,16
Vlaanderen;1;SBZH;Versie 2.0;9120;9120;Binnen;63;63;57,14;44,68;68,76
Vlaanderen;1;SBZH;Versie 2.0;9120;9120;Buiten;52;56,50256983;1,92;0,27;12,52
Vlaanderen;2;SBZH;Versie 2.0;9120;9120;Binnen;63;60,03;55,34;42,85;67,19
Vlaanderen;2;SBZH;Versie 2.0;9120;9120;Buiten;52;53,88389303;2,02;0,28;13,06
Vlaanderen;1;Habitattype;Versie 3;9120;9120;Binnen & Buiten;115;119,5025698;28,52;21,06;37,37
Vlaanderen;2;Habitattype;Versie 3;9120;9120;Binnen & Buiten;115;113,913893;25,25;18,1;34,05
Vlaanderen;1;SBZH;Versie 3;9120;9120;Binnen;63;63;52,38;40,1;64,38
Vlaanderen;1;SBZH;Versie 3;9120;9120;Buiten;52;56,50256983;1,92;0,27;12,52
Vlaanderen;2;SBZH;Versie 3;9120;9120;Binnen;63;60,03;46,11;34,11;58,58
Vlaanderen;2;SBZH;Versie 3;9120;9120;Buiten;52;53,88389303;2,02;0,28;13,06
Vlaanderen;1;Habitattype;Versie 2.0;9130;9130;Binnen & Buiten;13;32,1078905;21,8;6,16;54,21
Vlaanderen;2;Habitattype;Versie 2.0;9130;9130;Binnen & Buiten;13;31,8878905;21,26;5,97;53,45
Vlaanderen;1;SBZH;Versie 2.0;9130;9130;Binnen;11;11;63,64;32,76;86,27
Vlaanderen;1;SBZH;Versie 2.0;9130;9130;Buiten;2;21,1078905;0;NA;NA
Vlaanderen;2;SBZH;Versie 2.0;9130;9130;Binnen;11;10,78;62,89;32,03;85,91
Vlaanderen;2;SBZH;Versie 2.0;9130;9130;Buiten;2;21,1078905;0;NA;NA
Vlaanderen;1;Habitattype;Versie 3;9130;9130;Binnen & Buiten;13;32,1078905;24,92;7,14;58,87
Vlaanderen;2;Habitattype;Versie 3;9130;9130;Binnen & Buiten;13;31,8878905;27,53;7,9;62,74
Vlaanderen;1;SBZH;Versie 3;9130;9130;Binnen;11;11;72,73;40,13;91,39
Vlaanderen;1;SBZH;Versie 3;9130;9130;Buiten;2;21,1078905;0;NA;NA
Vlaanderen;2;SBZH;Versie 3;9130;9130;Binnen;11;10,78;81,45;47,1;95,58
Vlaanderen;2;SBZH;Versie 3;9130;9130;Buiten;2;21,1078905;0;NA;NA
Vlaanderen;1;Habitattype;Versie 2.0;9160;9160;Binnen & Buiten;19;19,23787055;15,59;4,95;39,61
Vlaanderen;2;Habitattype;Versie 2.0;9160;9160;Binnen & Buiten;19;18,34538235;14,94;4,66;38,65
Vlaanderen;1;SBZH;Versie 2.0;9160;9160;Binnen;11;11;27,27;8,75;59,45
Vlaanderen;1;SBZH;Versie 2.0;9160;9160;Buiten;8;8,237870551;0;0;0
Vlaanderen;2;SBZH;Versie 2.0;9160;9160;Binnen;11;10,54;26;8,17;58,1
Vlaanderen;2;SBZH;Versie 2.0;9160;9160;Buiten;8;7,805382347;0;0;0
Vlaanderen;1;Habitattype;Versie 3;9160;9160;Binnen & Buiten;19;19,23787055;10,4;2,51;34,33
Vlaanderen;2;Habitattype;Versie 3;9160;9160;Binnen & Buiten;19;18,34538235;14,94;4,66;38,65
Vlaanderen;1;SBZH;Versie 3;9160;9160;Binnen;11;11;18,18;4,4;51,75
Vlaanderen;1;SBZH;Versie 3;9160;9160;Buiten;8;8,237870551;0;0;0
Vlaanderen;2;SBZH;Versie 3;9160;9160;Binnen;11;10,54;26;8,17;58,1
Vlaanderen;2;SBZH;Versie 3;9160;9160;Buiten;8;7,805382347;0;0;0
Vlaanderen;1;Habitattype;Versie 2.0;9190;9190;Binnen & Buiten;17;19,59775685;5,1;0,66;30,17
Vlaanderen;2;Habitattype;Versie 2.0;9190;9190;Binnen & Buiten;17;19,08775685;5,24;0,68;30,78
Vlaanderen;1;SBZH;Versie 2.0;9190;9190;Binnen;9;9;11,11;1,45;51,58
Vlaanderen;1;SBZH;Versie 2.0;9190;9190;Buiten;8;10,59775685;0;0;0
Vlaanderen;2;SBZH;Versie 2.0;9190;9190;Binnen;9;8,49;11,78;1,54;53,3
Vlaanderen;2;SBZH;Versie 2.0;9190;9190;Buiten;8;10,59775685;0;0;0
Vlaanderen;1;Habitattype;Versie 3;9190;9190;Binnen & Buiten;17;19,59775685;5,1;0,66;30,17
Vlaanderen;2;Habitattype;Versie 3;9190;9190;Binnen & Buiten;17;19,08775685;5,24;0,68;30,78
Vlaanderen;1;SBZH;Versie 3;9190;9190;Binnen;9;9;11,11;1,45;51,58
Vlaanderen;1;SBZH;Versie 3;9190;9190;Buiten;8;10,59775685;0;0;0
Vlaanderen;2;SBZH;Versie 3;9190;9190;Binnen;9;8,49;11,78;1,54;53,3
Vlaanderen;2;SBZH;Versie 3;9190;9190;Buiten;8;10,59775685;0;0;0
Vlaanderen;1;Habitatsubtype;Versie 2.0;9,10E+01;91E0_va;Binnen & Buiten;17;23,13384066;21,71;7,69;48
Vlaanderen;1;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vm;Binnen & Buiten;13;14,93143005;24,4;7,76;55,32
Vlaanderen;1;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vn;Binnen & Buiten;10;11,07750919;0;0;0
Vlaanderen;1;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vo;Binnen & Buiten;3;4,034855769;0;NA;NA
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_va;Binnen & Buiten;17;21,86268727;17,34;6,21;39,9
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vm;Binnen & Buiten;13;13,94609655;29,17;10,97;57,92
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vn;Binnen & Buiten;10;10,88750919;0;0;0
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vo;Binnen & Buiten;3;3,5471875;0;NA;NA
Vlaanderen;1;Habitattype;Versie 2.0;9,10E+01;"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";Binnen & Buiten;43;53,17763567;16,3;7,61;31,51
Vlaanderen;2;Habitattype;Versie 2.0;9,10E+01;"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";Binnen & Buiten;43;50,24348051;15,64;7,78;28,94
