Schaal;Periode;TypeResultaat;Versie;Habitattype;Habitatsubtype;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Vlaanderen;1;SBZH;Versie 2.0;9,10E+01;"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";Binnen;24;25,07750919;19,94;8,38;40,42
Vlaanderen;1;SBZH;Versie 2.0;9,10E+01;"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";Buiten;19;28,10012648;13,05;3,25;40,16
Vlaanderen;2;SBZH;Versie 2.0;9,10E+01;"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";Binnen;24;24,36750919;27,86;13,56;48,75
Vlaanderen;2;SBZH;Versie 2.0;9,10E+01;"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";Buiten;19;25,87597132;4,13;0,56;24,94
Vlaanderen;1;Habitatsubtype;Versie 3;9,10E+01;91E0_va;Binnen & Buiten;17;23,13384066;21,71;7,69;48
Vlaanderen;1;Habitatsubtype;Versie 3;9,10E+01;91E0_vm;Binnen & Buiten;13;14,93143005;17,71;4,29;50,79
Vlaanderen;1;Habitatsubtype;Versie 3;9,10E+01;91E0_vn;Binnen & Buiten;10;11,07750919;0;0;0
Vlaanderen;1;Habitatsubtype;Versie 3;9,10E+01;91E0_vo;Binnen & Buiten;3;4,034855769;0;NA;NA
Vlaanderen;2;Habitatsubtype;Versie 3;9,10E+01;91E0_va;Binnen & Buiten;17;21,86268727;12,81;3,92;34,56
Vlaanderen;2;Habitatsubtype;Versie 3;9,10E+01;91E0_vm;Binnen & Buiten;13;13,94609655;21,51;6,85;50,55
Vlaanderen;2;Habitatsubtype;Versie 3;9,10E+01;91E0_vn;Binnen & Buiten;10;10,88750919;0;0;0
Vlaanderen;2;Habitatsubtype;Versie 3;9,10E+01;91E0_vo;Binnen & Buiten;3;3,5471875;0;NA;NA
Vlaanderen;1;Habitattype;Versie 3;9,10E+01;"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";Binnen & Buiten;43;53,17763567;14,42;6,31;29,64
Vlaanderen;2;Habitattype;Versie 3;9,10E+01;"91E0_va; 91E0_vm; 91E0_vn; 91E0_vo";Binnen & Buiten;43;50,24348051;11,54;5,13;23,96
Vlaanderen;1;SBZH;Versie 3;9,10E+01;"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";Binnen;24;25,07750919;15,95;5,99;36,1
Vlaanderen;1;SBZH;Versie 3;9,10E+01;"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";Buiten;19;28,10012648;13,05;3,25;40,16
Vlaanderen;2;SBZH;Versie 3;9,10E+01;"91E0_va; 91E0_vm; 91E0_vo; 91E0_vn";Binnen;24;24,36750919;23,8;10,83;44,55
Vlaanderen;2;SBZH;Versie 3;9,10E+01;"91E0_va; 91E0_vn; 91E0_vm; 91E0_vo";Buiten;19;25,87597132;0;0;0
