Schaal;Periode;TypeResultaat;Versie;Habitattype;Habitatsubtype;Criterium;Indicator;Belang;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Vlaanderen;2;Habitattype;Versie 2.0;9,10E+01;"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";Structuur;aandeel dood hout;b;Binnen & Buiten;202;536,8278618;80,55;72,86;86,46
Vlaanderen;2;SBZH;Versie 2.0;9,10E+01;"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";Structuur;aandeel dood hout;b;Binnen;126;393,0738161;88,5;80,78;93,38
Vlaanderen;2;SBZH;Versie 2.0;9,10E+01;"91E0_sf; 91E0_vm; 91E0_vc; 91E0_vo; 91E0_vn; 91E0_va";Structuur;aandeel dood hout;b;Buiten;76;143,7540457;58,78;32,02;81,2
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_sf;Structuur;aandeel dood hout;b;Binnen & Buiten;30;342,2;97,01;81,3;99,59
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_va;Structuur;aandeel dood hout;b;Binnen & Buiten;51;66,2011139;45,43;31,78;59,81
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vc;Structuur;aandeel dood hout;b;Binnen & Buiten;25;23,90073295;57,5;36,43;76,15
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vm;Structuur;aandeel dood hout;b;Binnen & Buiten;38;41,61718505;57,48;40,89;72,54
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vn;Structuur;aandeel dood hout;b;Binnen & Buiten;39;43,0960588;58,39;41,68;73,37
Vlaanderen;2;Habitatsubtype;Versie 2.0;9,10E+01;91E0_vo;Structuur;aandeel dood hout;b;Binnen & Buiten;19;19,8127711;38,02;19,04;61,53
Vlaanderen;2;Habitattype;Versie 3;9,10E+01;"91E0_sf; 91E0_vc; 91E0_vm; 91E0_vo; 91E0_va; 91E0_vn";Structuur;aandeel dood hout;b;Binnen & Buiten;202;536,8278618;80,55;72,86;86,46
Vlaanderen;2;SBZH;Versie 3;9,10E+01;"91E0_sf; 91E0_vc; 91E0_vo; 91E0_vm; 91E0_va; 91E0_vn";Structuur;aandeel dood hout;b;Binnen;126;393,0738161;88,5;80,78;93,38
