Schaal;Periode;TypeResultaat;Versie;Habitattype;Habitatsubtype;Versie;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Vlaanderen Atlantisch;;;;3130;alle;Versie 2.0;Binnen & Buiten;149;649,5778322;39,29;26,77;53,38
Vlaanderen Atlantisch;;;;3130;alle;Versie 2.0;binnen;141;538,6517049;45,32;32,67;58,6
Vlaanderen Atlantisch;;;;3130;alle;Versie 2.0;buiten;8;110,9261273;9,99;1,62;42,8
Vlaanderen Atlantisch;;;;3130;3130_aom;Versie 2.0;Binnen & Buiten;93;335,7350895;35,77;20,32;54,87
Vlaanderen Atlantisch;;;;3130;3130_na;Versie 2.0;Binnen & Buiten;56;313,8427427;43,05;24,59;63,67
Vlaanderen Atlantisch;;;;3130;alle;Versie 3;Binnen & Buiten;149;649,5778322;13,4;7,52;22,72
Vlaanderen Atlantisch;;;;3130;alle;Versie 3;binnen;141;538,6517049;14,74;8,28;24,87
Vlaanderen Atlantisch;;;;3130;alle;Versie 3;buiten;8;110,9261273;6,86;0,74;41,94
Vlaanderen Atlantisch;;;;3130;3130_aom;Versie 3;Binnen & Buiten;93;335,7350895;10,38;4,6;21,76
Vlaanderen Atlantisch;;;;3130;3130_na;Versie 3;Binnen & Buiten;56;313,8427427;16,62;7,39;33,24
Vlaanderen Atlantisch;;;;3150;alle;Versie 2.0;Binnen & Buiten;36;81,49537794;87,15;65,02;96,12
Vlaanderen Atlantisch;;;;3150;alle;Versie 2.0;binnen;32;79,03048926;89,87;69,76;97,15
Vlaanderen Atlantisch;;;;3150;alle;Versie 2.0;buiten;4;2,464888681;0;NA;NA
Vlaanderen Atlantisch;;;;3150;alle;Versie 3;Binnen & Buiten;36;81,49537794;1,51;0,21;10,09
Vlaanderen Atlantisch;;;;3150;alle;Versie 3;binnen;32;79,03048926;1,56;0,21;10,49
Vlaanderen Atlantisch;;;;3150;alle;Versie 3;buiten;4;2,464888681;0;NA;NA
Vlaanderen Atlantisch;;;;3140;alle;Versie 2.0;Binnen & Buiten;18;54,68491581;18,04;3,08;60,41
Vlaanderen Atlantisch;;;;3140;alle;Versie 2.0;binnen;17;16,91706748;58,3;26,32;84,55
Vlaanderen Atlantisch;;;;3140;alle;Versie 2.0;buiten;1;37,76784833;0;NA;NA
Vlaanderen Atlantisch;;;;3140;alle;Versie 3;Binnen & Buiten;18;54,68491581;0;0;0
Vlaanderen Atlantisch;;;;3140;alle;Versie 3;binnen;17;16,91706748;0;0;0
Vlaanderen Atlantisch;;;;3140;alle;Versie 3;buiten;1;37,76784833;0;NA;NA
Vlaanderen Atlantisch;;;;3160;alle;Versie 2.0;Binnen & Buiten;44;159,5743655;31,67;14,06;56,77
Vlaanderen Atlantisch;;;;3160;alle;Versie 2.0;binnen;42;156,5872785;32,28;14,19;57,88
Vlaanderen Atlantisch;;;;3160;alle;Versie 2.0;buiten;2;2,987086973;0;NA;NA
Vlaanderen Atlantisch;;;;3160;alle;Versie 3;Binnen & Buiten;44;159,5743655;0,58;0,07;4,41
Vlaanderen Atlantisch;;;;3160;alle;Versie 3;binnen;42;156,5872785;0,59;0,07;4,5
Vlaanderen Atlantisch;;;;3160;alle;Versie 3;buiten;2;2,987086973;0;NA;NA
Vlaanderen Atlantisch;;;;3110;alle;Versie 2.0;Binnen & Buiten;2;16,42617051;51,7;NA;NA
Vlaanderen Atlantisch;;;;3110;alle;Versie 3;Binnen & Buiten;2;16,42617051;0;NA;NA
