Schaal;Periode;TypeResultaat;Versie;Habitattype;Habitatsubtype;SBZH;nObs;sumWeights;AandeelGunstig;AandeelGunstig_LLCI;AandeelGunstig_ULCI
Vlaanderen;;Habitatsubtype;Versie 2.0;1330;1330_da;Binnen & Buiten;66;107,7671642;28,79;19,13;40,86
Vlaanderen;;Habitatsubtype;Versie 2.0;1330;1330_hpr;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 2.0;1330;"1330_hpr; 1330_da";Binnen & Buiten;82;163,5174142;53,07;41,42;64,38
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_da;Binnen & Buiten;66;107,7671642;28,79;19,13;40,86
Vlaanderen;;Habitatsubtype;Versie 3;1330;1330_hpr;Binnen & Buiten;16;55,75025;100;100;100
Vlaanderen;;Habitattype;Versie 3;1330;"1330_hpr; 1330_da";Binnen & Buiten;82;163,5174142;53,07;41,42;64,38
